"par_names","condition","value","error_value"
"amplitude_ratio","IE",1.012424,0.022962
"amplitude_ratio","EE",1.015172,0.054245
"amplitude_ratio","II",0.506216,0.037883
"amplitude_ratio","EI",0.503379,0.003639
"peak_time_activ","IE",0.07983,0.022962
"peak_time_activ","EE",0.006119,0.054245
"peak_time_activ","II",-0.06152,0.037883
"peak_time_activ","EI",-0.272372,0.003639
"curvature_activ","IE",1.52198,0.022962
"curvature_activ","EE",1.727729,0.054245
"curvature_activ","II",1.994853,0.037883
"curvature_activ","EI",1.845385,0.003639
"peak_time_inhib","IE",0.249405,0.022962
"peak_time_inhib","EE",0.180108,0.054245
"peak_time_inhib","II",-0.106698,0.037883
"peak_time_inhib","EI",-0.449011,0.003639
"curvature_inhib","IE",2.060834,0.022962
"curvature_inhib","EE",2.516838,0.054245
"curvature_inhib","II",2.596535,0.037883
"curvature_inhib","EI",2.3701,0.003639
